Chemblid	Drug	canonical	formula	max_phase	synonyms
CHEMBL6622	ISOSORBIDE DINITRATE	O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]	C6H8N2O8	4.0	Angitak;;;C01DA08;;;Carvasin;;;Cedocard;;;Cedocard-10;;;Cedocard-20;;;Cedocard-40;;;Cedocard-5;;;Cedocard ret;;;Dilatrate;;;Dilatrate-sr;;;Diluted isosorbide dinitrate;;;Diluted isosorbide dinitrate rs;;;Imtack;;;Isocard;;;Isoket 10;;;Isoket 20;;;Isoket 5;;;Isoket ret 20;;;Isoket ret 40;;;Iso mack;;;Isordil;;;Isordil tembids;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Isosorbide dinitrate;;;Jeridin;;;NSC-80038;;;Soni-slo;;;Sorbichew;;;Sorbid-20 sa;;;Sorbid-40 sa;;;Sorbide nitrate;;;Sorbidilat;;;Sorbid sa;;;Sorbitrate;;;Vascardin
CHEMBL6437	MIANSERIN	CN1CCN2c3ccccc3Cc3ccccc3C2C1	C18H20N2	4.0	J16.389I;;;Mianserin;;;Mianserin;;;Mianserin;;;Mianserin;;;Mianserin
CHEMBL11	IMIPRAMINE	CN(C)CCCN1c2ccccc2CCc2ccccc21	C19H24N2	4.0	Imipramine;;;Imipramine;;;Imipramine;;;Imipramine;;;Imipramine;;;Imipramine;;;Janimine;;;NSC-169866;;;ORG-2463;;;Pramine;;;Presamine;;;Tofranil;;;Tofranil-PM;;;Trimipramine maleate impurity, imipramine-
CHEMBL406	INDAPAMIDE	CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1	C16H16ClN3O3S	4.0	Cardide sr;;;Ethibide xl;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indapamide;;;Indaxa 2.5;;;Indipam xl;;;KYD-041;;;Lozol;;;Mapemid xl;;;Natrilix;;;Natrilix sr;;;Nindaxa 2.5;;;Opumide 2.5;;;Rawel xl;;;S-1520;;;SE-1520;;;Tensaid xl;;;Varbim xl
CHEMBL407	FLUMAZENIL	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2	C15H14FN3O3	4.0	Anexate;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazenil;;;Flumazepil;;;Flumazepil;;;Mazicon;;;RO-151788;;;RO-15-1788;;;RO 15-1788/000;;;RO-151788000;;;RO-1722;;;RO-41-8157;;;Romazicon
CHEMBL408	TROGLITAZONE	Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2	C24H27NO5S	4.0	CI-991;;;CS-045;;;GR92132X;;;GR-92132X;;;Prelay;;;Rezulin;;;Rezulin;;;Romozin;;;Troglitazone;;;Troglitazone;;;Troglitazone;;;Troglitazone;;;Troglitazone;;;Troglitazone;;;Troglitazone;;;Troglitazone;;;Troglitazone
CHEMBL409	BICALUTAMIDE	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	C18H14F4N2O4S	4.0	Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Bicalutamide;;;Calutide;;;Casodex;;;Casodex;;;Cosudex;;;ICI 176,334;;;ICI-176334;;;ICI176,334-1;;;Kalumid
CHEMBL12	DIAZEPAM	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	C16H13ClN2O	4.0	Alupram 10;;;Alupram 2;;;Alupram 5;;;Apozepam;;;Atensine;;;Dialar;;;Dialar fte;;;Diastat;;;Diastat acudial;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam;;;Diazepam civ;;;Diazepam intensol;;;Dizac;;;E-Pam;;;LA III;;;LA-III;;;Nrl-1;;;NRL-1;;;NSC-169897;;;NSC-77518;;;Paxel;;;Q-pam;;;Relanium;;;RO 5-2807;;;RO-52807;;;RO-5-2807;;;Scriptopam;;;Serenack;;;Solis;;;Stesolid;;;Tensium;;;Tranimul;;;Valclair;;;Valium;;;Valrelease;;;Valtoco;;;Vivol;;;WY-3467
CHEMBL13	METOPROLOL	COCCc1ccc(OCC(O)CNC(C)C)cc1	C15H25NO3	4.0	CGP-2175;;;Lopressidone;;;Metoprolol;;;Metoprolol;;;Metoprolol;;;Metoprolol;;;Metoprolol;;;Metoprolol;;;Metoprolol;;;Toprol-XL
CHEMBL411	DIETHYLSTILBESTROL	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1	C18H20O2	4.0	Apstil;;;Cyren a;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Diethylstilbestrol;;;Distilbene;;;Estrobene;;;Estrogenine;;;Estromenin;;;Fonatol;;;New-estranol 1;;;NSC-3070;;;Palestrol;;;Stilbestroform;;;Stilbestrol;;;Stilbestrol;;;Stilbetin;;;Stilboesterol;;;Stilboestrol;;;Synestrin;;;Synthestrin;;;Tampovagan
CHEMBL267936	MECAMYLAMINE	CNC1(C)C2CCC(C2)C1(C)C	C11H21N	4.0	Mecamylamine;;;Mecamylamine;;;Mecamylamine;;;Mecamylamine;;;Mecamylamine
CHEMBL14	CARBACHOL	C[N+](C)(C)CCOC(N)=O.[Cl-]	C6H15ClN2O2	4.0	Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbachol;;;Carbacholine Chloride;;;Carbacholine chloride;;;Carbamoylcholine chloride;;;Carbastat;;;Doryl;;;Miostat
CHEMBL16	PHENYTOIN	O=C1N=C(O)NC1(c1ccccc1)c1ccccc1	C15H12N2O2	4.0	Dilabid;;;Dilantin;;;Dilantin-125;;;Dilantin-30;;;Diphenylhydantoin;;;Diphenylhydantoin;;;Hydantol;;;NSC-8722;;;Phentytoin;;;Phenytek;;;Phenytex;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;Phenytoin;;;SM-88 COMPONENT PHENYTOIN
CHEMBL413	SIROLIMUS	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	C51H79NO13	4.0	AY-22989;;;L04AA10;;;NSC-226080;;;Rapamune;;;Rapamycin;;;Rapamycin;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;Sirolimus;;;SM-88 COMPONENT SIROLIMUS;;;WY-090217
CHEMBL269732	TACROLIMUS	C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC	C44H69NO12	4.0	FK506;;;FK-506;;;FR-900506;;;Prograf;;;Protopic;;;Tacrolimus;;;Tacrolimus monohydrate;;;Tacrolimus monohydrate
CHEMBL415	CLOMIPRAMINE	CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21	C19H23ClN2	4.0	Anafranil;;;Clomipramine;;;Clomipramine;;;Clomipramine;;;Clomipramine;;;Clomipramine;;;Clomipramine;;;NSC-169865
CHEMBL416	METHOXSALEN	COc1c2occc2cc2ccc(=O)oc12	C12H8O4	4.0	8-methoxypsoralen;;;8-mop;;;Deltasoralen;;;Meladinine;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;Methoxsalen;;;NSC-45923;;;Oxsoralen;;;Oxsoralen-ultra;;;Puvasoralen-8;;;SM-88 COMPONENT METHOXSALEN;;;Uvadex;;;Xanthotoxin
CHEMBL17	DICHLORPHENAMIDE	NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1	C6H6Cl2N2O4S2	4.0	Daranide;;;Dichlorphenamide;;;Dichlorphenamide;;;Dichlorphenamide;;;Dichlorphenamide;;;Dichlorphenamide;;;Diclofenamide;;;Diclofenamide;;;Diclofenamide;;;Diclofenamide;;;Diclofenamide;;;Diclofenamide;;;Diclofenamide;;;Keveyis;;;Oratrol
CHEMBL18	ETHOXZOLAMIDE	CCOc1ccc2nc(S(N)(=O)=O)sc2c1	C9H10N2O3S2	4.0	Cardrase;;;Ethamide;;;Ethoxzolamide;;;Ethoxzolamide;;;Ethoxzolamide;;;Ethoxzolamide
CHEMBL417	EPIRUBICIN	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1	C27H29NO11	4.0	Ellence;;;Epirubicin;;;Epirubicin;;;Epirubicin;;;Epirubicin;;;Epirubicin;;;Epirubicin;;;NSC-256942
CHEMBL19	METHAZOLAMIDE	CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C	C5H8N4O3S2	4.0	L-584601;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Methazolamide;;;Neptazane;;;VVP808;;;VVP-808
CHEMBL20	ACETAZOLAMIDE	CC(=O)Nc1nnc(S(N)(=O)=O)s1	C4H6N4O3S2	4.0	Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Acetazolamide;;;Diamox;;;Diamox sr;;;Eytazox;;;L 579486;;;NSC-145177
CHEMBL419	MAFENIDE	NCc1ccc(S(N)(=O)=O)cc1	C7H10N2O2S	4.0	4-homosulfanilamide;;;D06BA03;;;Mafenide;;;Mafenide;;;Mafenide;;;Mafenide;;;Mafenide;;;Mafenide;;;Mafenide;;;Mafenide;;;NSC-34632;;;Sulfamylon
CHEMBL21	SULFANILAMIDE	Nc1ccc(S(N)(=O)=O)cc1	C6H8N2O2S	4.0	Sulfanilamide;;;Sulfanilamide;;;Sulfanilamide;;;Sulfanilamide;;;Sulfanilamide;;;Sulfanilamide;;;Sulfanilamide;;;Sulfanilamide
CHEMBL420	GUANABENZ	N=C(N)N/N=C/c1c(Cl)cccc1Cl	C8H8Cl2N4	4.0	Guanabenz;;;Guanabenz;;;Guanabenz;;;Guanabenz;;;Guanabenz;;;NSC-68982;;;WY-8678
CHEMBL22	TRIMETHOPRIM	COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	C14H18N4O3	4.0	BW 56-72;;;BW-56-72;;;Ipral;;;Ledatrim;;;Monotrim;;;NIH-204;;;NSC-106568;;;Polytrim;;;Primsol;;;Proloprim;;;Proloprin;;;Syraprim;;;TCMDC-125538;;;TCMDC-125538;;;Tiempe;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimethoprim;;;Trimogal;;;Trimopan;;;Trimpex;;;Trimpex 200;;;Triprimix 200
CHEMBL6966	VERAPAMIL	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	C27H38N2O4	4.0	Calan;;;Covera-HS;;;CP-165331;;;CP-16,533-1;;;CP-16533-1;;;D-365;;;Iproveratril;;;Isoptin;;;NSC-272306NA;;;Tarka;;;Verapamil;;;Verapamil;;;Verapamil;;;Verapamil;;;Verapamil;;;Verapamil;;;Verapamil;;;Verelan
CHEMBL421	SULFASALAZINE	O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O	C18H14N4O5S	4.0	Azulfidine;;;Azulfidine;;;Azulfidine EN;;;Azulfidine en-tabs;;;Colizine;;;NSC-203730;;;NSC-667219;;;Salazopyrin;;;Salazopyrin e.c.;;;Salazopyrin-en;;;Salazosulfapyridine;;;Salazosulfapyridine;;;Salazosulfapyridine;;;Salicylazosulfapyridine;;;Salicylazosulfapyridine;;;S.a.s.;;;S.a.s.-500;;;SAS-500;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulfasalazine;;;Sulphasalazine;;;Ucine
CHEMBL6466	COUMARIN	O=c1ccc2ccccc2o1	C9H6O2	4.0	Coumarin;;;Coumarin;;;Coumarin;;;Coumarin;;;Lodema;;;NSC-8774
CHEMBL23	DILTIAZEM	COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1	C22H26N2O4S	4.0	Cardizem;;;Dilt-CD;;;Diltiazem;;;Diltiazem;;;Diltiazem;;;Diltiazem;;;Diltiazem;;;Diltiazem;;;Diltzac;;;Tiamate;;;Tiazac
CHEMBL24	ATENOLOL	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	C14H22N2O3	4.0	Antipressan;;;Atenamin;;;Atenix-100;;;Atenix-25;;;Atenix-50;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;Atenolol;;;C07AB03;;;Esatenolol;;;Ibinolo;;;ICI 66082;;;ICI 66,082;;;ICI-66082;;;Kentol;;;Tenormin;;;Tenormin 25;;;Tenormin l.s.;;;Totamol;;;Unibloc;;;Vasaten
CHEMBL25	ASPIRIN	CC(=O)Oc1ccccc1C(=O)O	C9H8O4	4.0	8-hour bayer;;;Acetosalic Acid;;;Acetylsalic acid;;;Acetylsalicylic Acid;;;Acetylsalicylic Acid;;;Acetylsalicylic acid;;;Acetylsalicylic acid;;;Alka rapid;;;Anadin all night;;;Angettes 75;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspirin;;;Aspro clr;;;BAY1019036;;;Bayer extra strength aspirin for migraine pain;;;Danamep;;;Disprin cv;;;Disprin direct;;;Durlaza;;;Ecotrin;;;Enprin;;;Equi-Prin;;;Gencardia;;;Levius;;;Max strgh aspro clr;;;Measurin;;;Micropirin ec;;;NSC-27223;;;NSC-406186;;;Nu-seals 300;;;Nu-seals 600;;;Nu-seals 75;;;Nu-seals cardio 75;;;Paynocil;;;Platet;;;Platet 300;;;Postmi 300;;;Postmi 75;;;Salicylic Acid Acetate;;;Vazalore
CHEMBL422	TRIFLUOPERAZINE	CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	C21H24F3N3S	4.0	Amylozine;;;NSC-17474;;;NSC-46061;;;RP-7623;;;Stelazine;;;Stelazine fte;;;Trifluoperazine;;;Trifluoperazine;;;Trifluoperazine;;;Trifluoperazine;;;Trifluoperazine;;;Trifluoperazine;;;Trifluoperazine
CHEMBL26	SULPIRIDE	CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC	C15H23N3O4S	4.0	Dogmatyl;;;Dolmatil;;;N05AL01;;;RD-1403;;;Sulpiride;;;Sulpiride;;;Sulpiride;;;Sulpiride;;;Sulpiride;;;Sulpiride;;;Sulpiride;;;Sulpiride
CHEMBL423	BETAXOLOL	CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1	C18H29NO3	4.0	ALO-140102 FREE BASE;;;Betaxolol;;;Betaxolol;;;Betaxolol;;;Betaxolol;;;Betaxolol;;;Betaxolol;;;Betaxolol;;;Betoptic;;;Betoptic;;;Betoptic susp;;;Kerledex;;;Kerlone;;;SL-7521210 FREE BASE
CHEMBL424	SALICYLIC ACID	O=C(O)c1ccccc1O	C7H6O3	4.0	2-Hydroxy-benzoic acid;;;Acnisal;;;Advanced pain relief callus removers;;;Advanced pain relief com removers;;;Bazuka;;;Clear away wart remover;;;Compound v;;;Compound w;;;Cuplex verruca;;;Dr. scholl's callus removers;;;Dr. scholl's corn removers;;;Dr. scholl's wart remover kit;;;Duofilm;;;Duofilm wart remover;;;Duoplant;;;Edinburgh;;;Erytex;;;FEMA NO. 3985;;;Freezone;;;Gppe paint;;;Ionil;;;Ionil-plus;;;Jadit;;;K-557;;;Keralyt;;;Lamivudine impurity, salicylic acid-;;;Lamivudine related compound salicylic acid;;;Metanium;;;Necol;;;Noxacorn;;;NSC-180;;;Occlusal;;;Phiso-clear;;;Phytex;;;Phytocil;;;Posalfilin;;;Pyralvex;;;Salactol;;;Salatac;;;Salicylic Acid;;;Salicylic acid;;;Salicylic acid;;;Salicylic acid;;;Salicylic acid;;;Salicylic acid;;;Salicylic Acid;;;Salicylic acid;;;Salicylic acid rs;;;Salicylic acid soap;;;Saligel;;;Stri-dex;;;Thwart;;;Toepedo;;;Verrugon;;;Wartex
CHEMBL425	OLSALAZINE	O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O	C14H10N2O6	4.0	Dipentum;;;Olsalazine;;;Olsalazine;;;Olsalazine;;;Olsalazine;;;Olsalazine;;;Olsalazine
CHEMBL27	PROPRANOLOL	CC(C)NCC(O)COc1cccc2ccccc12	C16H21NO2	4.0	AY-64043-;;;Inderal;;;Inderide-40/25;;;Inderide-80/25;;;Propranolol;;;Propranolol;;;Propranolol;;;Propranolol;;;Propranolol;;;Propranolol
CHEMBL6995	PRACTOLOL	CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1	C14H22N2O3	4.0	[3-(4-Acetylamino-Phenoxy)-2-Hydroxy-Propyl]-Isopropyl-Ammonium;;;AY-21,011;;;Eraldin;;;I.C.I. 50,172;;;Practolol;;;Practolol;;;Practolol;;;Practolol;;;Practolol
CHEMBL427	MECHLORETHAMINE	CN(CCCl)CCCl	C5H11Cl2N	4.0	Chlormethine;;;Chlormethine;;;Chlormethine;;;Chlormethine;;;Mechlorethamine;;;Mechlorethamine;;;Mechlorethamine;;;Mustargen;;;NSC-10107;;;NSC-128663
CHEMBL29	BENZYLPENICILLIN	CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O	C16H18N2O4S	4.0	Benzylpenicillin;;;Benzylpenicillin;;;Benzylpenicillin;;;Benzylpenicillin;;;Benzylpenicillin;;;Benzylpenicillin;;;Benzylpenicillin ;;;Bicillin;;;Crystapen g;;;J01CE01;;;NSC-193396;;;Penicillin-2;;;Penicillin G;;;Penicillin g;;;Permapen;;;Pfizerpen-AS
CHEMBL428	TROVAFLOXACIN	N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12	C20H15F3N4O3	4.0	CP-99219;;;Trovafloxacin;;;Trovafloxacin;;;Trovafloxacin;;;Trovafloxacin;;;Trovafloxacin
CHEMBL30	CIMETIDINE	CN/C(=N/CCSCc1nc[nH]c1C)NC#N	C10H16N6S	4.0	Acid-eze;;;Acitak 200;;;Acitak 400;;;Acitak 800;;;Brumetadina;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Cimetidine;;;Dyspamet;;;Galenamet;;;Kentamet;;;NSC-335308;;;Peptimax 200;;;Peptimax 400;;;Peptimax 800;;;SKF-92334;;;Tagadine;;;Tagamet;;;Tagamet 100;;;Tagamet hb;;;Tagamet hb 200;;;Ultec;;;Valmagen;;;Zita
CHEMBL31	GATIFLOXACIN	COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12	C19H22FN3O4	4.0	AM-1155;;;BMS-20658401;;;BMS-206584-01;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin;;;Gatifloxacin hydrate;;;Gatifloxacin sesquihydrate;;;Gatifloxacin sesquihydrate;;;PD-135432;;;Tequin;;;Zymar;;;Zymaxid
CHEMBL429	LABETALOL	CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1	C19H24N2O3	4.0	AH-5158A FREE BASE;;;Labetalol;;;Labetalol;;;Labetalol;;;Labetalol;;;Labetalol;;;Labetalol;;;Normodyne;;;Normozide;;;SCH-15719W FREE BASE;;;Trandate
CHEMBL32	MOXIFLOXACIN	COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12	C21H24FN3O4	4.0	Avelox;;;Avelox;;;Avelox i.v.;;;Moxifloxacin;;;Moxifloxacin;;;Moxifloxacin;;;Moxifloxacin;;;Moxifloxacin;;;Moxifloxacin;;;Moxifloxacin;;;Moxifloxacin;;;Vigamox
